rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,mean_fit_time
152,0.5604736852319787,0.006078761520954377,500,7,0.01,0.9,0.8,2.118442726135254
153,0.5604642534838554,0.009039956130613584,300,7,0.01,0.7,0.9,1.1848535060882568
154,0.560433037778715,0.005541037110192231,200,5,0.1,0.9,0.9,0.5319676399230957
155,0.5604092946000606,0.008474816001800145,100,7,0.05,0.7,0.9,0.32070627212524416
156,0.5603929824259197,0.009832089220009246,500,5,0.1,0.8,0.8,1.2734714984893798
157,0.5603638585084629,0.008351996241296497,200,3,0.1,0.9,0.8,0.4423719882965088
158,0.5603149818422339,0.0073129531875199575,500,7,0.01,0.8,0.7,2.250452470779419
159,0.560294130326936,0.009826367100916337,500,5,0.1,0.9,0.7,1.388259220123291
160,0.5602240315991054,0.007868248392202173,100,7,0.05,0.8,0.8,0.4085319995880127
161,0.5601895015756255,0.00833364466816786,300,3,0.05,0.7,0.9,0.5879505157470704
162,0.5601856409370063,0.007536729231290899,500,5,0.1,0.9,0.9,1.3573839664459229
163,0.5600688066876417,0.0062946463446499215,500,7,0.1,0.9,0.7,1.859910774230957
164,0.5600573361877673,0.00903702999051683,500,7,0.1,0.7,0.8,1.652975368499756
165,0.5599936264854309,0.006496744982721659,500,3,0.05,0.9,0.7,1.7721286773681642
166,0.559978163923638,0.013862061117994023,300,7,0.1,0.8,0.8,1.6904980659484863
167,0.5599727048165397,0.005607144619516605,100,5,0.1,0.7,0.9,0.25678672790527346
168,0.5598917561609159,0.00815139290058627,500,5,0.01,0.7,0.7,1.1457693099975585
169,0.559889802564741,0.008245686853156974,100,5,0.05,0.7,0.7,0.24340291023254396
170,0.5598332875021651,0.006694694566325165,100,5,0.1,0.9,0.9,0.3650691986083984
171,0.5598119095069832,0.00723892300187497,300,7,0.01,0.8,0.7,0.9969331741333007
172,0.5597939943381475,0.007171527933208845,100,7,0.05,0.9,0.9,0.4187182426452637
173,0.5597255781893617,0.008495840500242078,100,3,0.1,0.7,0.8,0.19549622535705566
174,0.5596969591440915,0.005065401382376182,100,7,0.05,0.9,0.8,0.341079044342041
175,0.5596576307701916,0.011013747220118119,300,5,0.1,0.9,0.9,0.6810356616973877
176,0.5596388942748951,0.010194171998900834,100,3,0.1,0.7,0.9,0.19671778678894042
177,0.559635778241972,0.010117148130536607,100,5,0.1,0.8,0.8,0.29273672103881837
178,0.5595682174509534,0.00808337888564179,100,3,0.1,0.7,0.7,0.5274734020233154
179,0.5595273230650543,0.0072635216940673064,300,3,0.05,0.8,0.9,0.807321310043335
180,0.5594028299681997,0.0068727572792160185,500,3,0.05,0.7,0.7,1.4311107635498046
181,0.5593974655823223,0.009465794278021893,300,7,0.01,0.7,0.8,1.0334478855133056
182,0.5592675499012383,0.007848706035053667,300,7,0.01,0.8,0.8,1.7128776073455811
183,0.5592582576520737,0.006271558128066926,300,3,0.1,0.9,0.7,0.5862688541412353
184,0.5591983091904444,0.01004307935202533,200,7,0.01,0.7,0.7,0.6728252410888672
185,0.5591522939354598,0.00711045203331408,300,3,0.05,0.9,0.9,0.6916048526763916
186,0.5591082115329695,0.007264303496858623,500,7,0.1,0.8,0.7,1.6224033832550049
187,0.5590711338472364,0.008836898605637291,200,3,0.05,0.8,0.8,0.3702127456665039
188,0.5590550736879408,0.009987325579414013,200,3,0.05,0.8,0.7,0.581257963180542
189,0.559039419667804,0.009108773774685108,300,7,0.1,0.7,0.9,0.9223640441894532
190,0.55901640549698,0.005838154296764439,200,3,0.1,0.7,0.7,0.37468729019165037
191,0.558979843867114,0.007921253157946935,300,7,0.01,0.9,0.8,1.09963698387146
192,0.558947714591006,0.010457860689661442,100,5,0.05,0.7,0.9,0.33315677642822267
193,0.5589331252178475,0.007875726852020695,300,3,0.05,0.9,0.7,0.5149596691131592
194,0.5588976847879646,0.004047214904746587,100,5,0.1,0.7,0.7,0.2292694091796875
195,0.5588924880917242,0.009294022992059434,100,3,0.1,0.8,0.8,0.19245543479919433
196,0.5588225720939404,0.010301275174881618,100,5,0.05,0.9,0.9,0.2548196792602539
197,0.5588147034694135,0.009439162666823432,100,5,0.05,0.8,0.8,0.25873231887817383
198,0.5588139597208366,0.014827363206399966,300,7,0.1,0.7,0.8,0.9606925487518311
199,0.5587568191023019,0.008184291757872242,500,5,0.01,0.8,0.7,1.997950506210327
200,0.5587024611402311,0.007940235800906581,200,3,0.05,0.7,0.8,0.38063745498657225
201,0.5586748083983916,0.009611626816991728,100,3,0.1,0.8,0.9,0.22721357345581056
202,0.5586461960699299,0.006033382887748707,300,3,0.05,0.9,0.8,0.6306794166564942
203,0.558551681040114,0.007675570021930968,200,7,0.01,0.7,0.9,0.6861637115478516
204,0.5584859276417011,0.009632244413956754,100,3,0.1,0.9,0.9,0.20431618690490722
205,0.5584649197083684,0.008392394711689236,300,7,0.01,0.7,0.7,0.9737905025482178
206,0.5584589037947196,0.009309922880079818,500,7,0.1,0.8,0.8,1.9622309684753418
207,0.5583015744867295,0.010171485571405967,100,5,0.05,0.8,0.9,0.32053370475769044
208,0.5582863639640137,0.008695353241315503,300,7,0.01,0.9,0.9,1.2528564929962158
209,0.5582640107879762,0.010859062162289171,500,3,0.01,0.7,0.9,1.0615683555603028
210,0.5582321717354888,0.008511771171227735,200,3,0.05,0.9,0.7,0.4428369998931885
211,0.5581773259570951,0.006773430833444171,300,3,0.1,0.7,0.7,0.7266390800476075
212,0.5581732985178067,0.007930406345904483,300,7,0.01,0.8,0.9,1.0520535469055177
213,0.5581562838225838,0.009548150784952308,100,5,0.05,0.9,0.8,0.5083179473876953
214,0.5581305540385431,0.008134227480070793,500,7,0.1,0.9,0.8,1.4934195041656495
215,0.5581259966483387,0.008319395930844884,300,3,0.05,0.7,0.7,0.6424479484558105
216,0.5581083088278991,0.009036834950237813,500,5,0.01,0.9,0.9,1.4773460388183595
217,0.5581005927372784,0.007084794881421667,500,7,0.01,0.9,0.9,1.6449467182159423
218,0.5579188080879367,0.008042187862484219,200,7,0.01,0.9,0.7,0.7007864475250244
219,0.5578761593643,0.009260438447059415,200,3,0.05,0.7,0.7,0.40808782577514646
220,0.5578073451953193,0.00784015875735132,200,7,0.01,0.8,0.7,1.6979064464569091
221,0.5577423229913505,0.007058541197237699,500,5,0.01,0.7,0.9,1.1783906459808349
222,0.5576742041518221,0.009206910305861854,500,5,0.01,0.9,0.8,1.3119718074798583
223,0.5576309768349088,0.008035914691187678,100,3,0.1,0.8,0.7,0.19687013626098632
224,0.5576019577431552,0.009157441104491355,300,5,0.01,0.8,0.8,0.849573802947998
225,0.5575068770250388,0.008425943253500765,100,5,0.05,0.7,0.8,0.2676476001739502
226,0.5574779944276729,0.009032346538967817,100,5,0.05,0.8,0.7,0.25261902809143066
227,0.5573914403199487,0.007797348079133974,200,7,0.01,0.8,0.9,1.3450736999511719
228,0.5573748051928398,0.007869532376755188,200,3,0.05,0.7,0.9,0.3818624973297119
229,0.5573506979310194,0.00908039714212036,500,5,0.01,0.9,0.7,1.2665874481201171
230,0.5573480506735473,0.012433784081930098,500,3,0.01,0.7,0.8,1.0161599159240722
231,0.5572953176721667,0.008030550433636548,100,3,0.1,0.9,0.8,0.19044842720031738
232,0.5572869991455136,0.00844512503023945,200,7,0.01,0.8,0.8,0.6735993385314941
233,0.5572275915351279,0.00824176757412978,500,7,0.1,0.9,0.9,1.7801910400390626
234,0.5572136355911013,0.01262836948157078,500,3,0.01,0.7,0.7,1.2251914978027343
235,0.5571732429194693,0.011275292885257993,500,3,0.01,0.8,0.7,1.2400817394256591
236,0.5571114172089615,0.011786208933103327,500,3,0.01,0.9,0.7,0.9149893760681153
237,0.5570349436972959,0.008124701782139187,500,5,0.01,0.7,0.8,1.3384060859680176
238,0.5570012278452633,0.007938797709898493,200,3,0.05,0.8,0.9,0.6748336315155029
